number,name,symbol,mass,neutrons,negativity,outerElectrons,electronConfig,groupNumber,phase,firstIonizationEnergy,halflife,meltingPoint,boilingPoint,sublimationPoint,density20,density0
72,Hafnium,Hf,178.49,,1.3,4,4f^14 5d^2 6s^2,4,solid,658.5,,2233,4603,,"13.28 bei 25°C",
73,Tantal,Ta,180.95,,1.5,5,4f^14 5d^3 6s^2,5,solid,761,,3017,5420,,16.650,
74,Wolfram,W,183.84,,2.36,6,4f^14 5d^4 6s^2,6,solid,770,,3422,5930,,19.250,
75,Rhenium,Re,186.21,,1.9,7,4f^14 5d^5 6s^2,7,solid,760,,3186,5630,,"21 bei 25°C",
76,Osmium,Os,190.23,,2.2,8,4f^14 5d^6 6s^2,8,solid,840,,3130,5000,,22.590,
77,Iridium,Ir,192.22,,2.2,9,4f^14 5d^7 6s^2,9,solid,880,,2466,4130,,22.560,
78,Platin,Pt,195.08,,2.28,10,4f^14 5d^9 6s^1,10,solid,870,,1768.3,3827,,21.450,
79,Gold,Au,196.97,,2.54,11,4f^14 5d^10 6s^1,11,solid,890.1,,1064.18,2970,,19.320,
80,Quecksilber,Hg,200.59,,2,12,4f^14 5d^10 6s^2,12,liquid,1007.1,,−38.83,357,,"13.5459 bei 293.15 K",
81,Thallium,Tl,204.38,,1.62,3,4f^14 5d^10 6s^2 6p^1,13,solid,589.4,,304,1460,,11.850,
82,Blei,Pb,207.20,,2.33,4,4f^14 5d^10 6s^2 6p^2,14,solid,715.6,,327.43,1744,,1.342,
83,Bismut,Bi,208.98,,2.02,5,4f^14 5d^10 6s^2 6p^3,15,solid,703,,271.3,1560,,9.780,
84,Polonium,Po,209.98,,2,6,4f^14 5d^10 6s^2 6p^4,16,solid,812.1,,254,962,,9.196,
85,Astat,At,209.99,,2.2,7,4f^14 5d^10 6s^2 6p^5,17,solid,920,,302,,,,
86,Radon,Rn,222.00,,,8,4f^14 5d^10 6s^2 6p^6,18,gas,1037,,−71,−61.8,,,9.730
87,Francium,Fr,223.02,,0.7,1,7s^1,1,solid,393,,27,677,,,
88,Radium,Ra,226.03,,0.9,2,7s^2,2,solid,509.3,,700,1737,,5.500,
89,Actinium,Ac,227.03,,1.1,3,6d^1 7s^2,3,solid,499,,1050,3300,,10.070,
90,Thorium,Th,232.04,,1.3,4,6d^2 7s^2,Ac,solid,578,,1755,4788,,11.724,
91,Protactinium,Pa,231.04,,1.5,3,5f^2 6d^1 7s^2,Ac,solid,568,,1568,,,15.370,
92,Uran,U,238.03,,1.38,3,5f^3 6d^1 7s^2,Ac,solid,597.6,,1133,3930,,19.160,
93,Neptunium,Np,237.05,,1.36,3,5f^4 6d^1 7s^2,Ac,solid,604.5,,639,3902,,20.450,
94,Plutonium,Pu,244.06,,1.28,2,5f^6 7s^2,Ac,solid,584.7,,639.4,3230,,19.816,
95,Americium,Am,243.06,,1.3,2,5f^7 7s^2,Ac,solid,578,,1176,2607,,13.670,
96,Curium,Cm,247.07,,1.3,3,5f^7 6d^1 7s^2,Ac,solid,581,,1340,3110,,13.510,
97,Berkelium,Bk,247.00,,1.3,2,5f^9 s^2,Ac,solid,,,986,,,14.780,
98,Californium,Cf,251.00,,1.3,2,5f^10 7s^2,Ac,solid,608,,900,,,15.100,
99,Einsteinium,Es,252.00,,,2,5f^11 7s^2,Ac,solid,613.84,,860,996,,8.840,
100,Fermium,Fm,257.10,,,2,5f^12 7s^2,Ac,solid,,,852,,,,
101,Mendelevium,Md,258.00,,,2,5f^13 7s^2,Ac,solid,,,,,,,
102,Nobelium,No,259.00,,,2,5f^14 7s^2,Ac,solid,,,,,,,
103,Lawrencium,Lr,266.00,,,3,5f^14 6d^1 7s^2,Ac,solid,,,,,,,
104,Rutherfordium,Rf,261.11,,,4,5f^14 6d^2 7s^2,4,,,,,,,,
105,Dubnium,Db,262.11,,,5,5f^14 6d^3 7s^2,5,,,,,,,,
106,Seaborgium,Sg,263.12,,,6,5f^14 6d^4 7s^2,6,,,,,,,,
107,Bohrium,Bh,262.12,,,7,5f^14 6d^5 7s^2,7,,,,,,,,
108,Hassium,Hs,270.00,,,8,5f^14 6d^6 7s^2,8,,,,,,,,
